Name,Attribute,Level,Type,ATK,DEF,Description
Crystal Keeper,FIRE,Level 4,Warrior/Pendulum／Effect,1500.0,1800.0,"If a ""Crystal Beast"" monster you control battles an opponent's monster, during damage calculation (Quick Effect): You can Tribute this card from your hand or face-up field; your battling monster's ATK/DEF become double its original ATK/DEF during that damage calculation only, but it is destroyed at the end of this Damage Step."
Crystal Master,DARK,Level 3,Spellcaster/Pendulum／Effect,1300.0,1000.0,"You can Tribute this card; add 1 ""Ultimate Crystal"" monster, ""Crystal Beast"" monster, or ""Crystal"" Spell/Trap from your Deck to your hand."
Crystal Rose,LIGHT,Level 2,Rock/Effect,500.0,500.0,"Once per turn: You can send 1 ""Gem-Knight"" or ""Melodious"" monster from your hand or Deck to the Graveyard, and if you do, this card's name becomes the sent monster's name, until the End Phase. If this card is in your Graveyard: You can banish 1 Fusion Monster from your Graveyard; Special Summon this card in Defense Position. You can only use this effect of ""Crystal Rose"" once per turn."
Crystal Seer,WATER,Level 1,Spellcaster/Flip／Effect,100.0,100.0,"FLIP: Excavate the top 2 cards of your Deck, then add 1 of them to your hand, then place the other on the bottom of your Deck."
Crystal Shark,WATER,Level 5,Fish/Effect,1100.0,800.0,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If this card is in your hand or GY: You can target 1 WATER monster on the field; Special Summon this card (but banish this card when it leaves the field), and if you do, halve that monster's ATK, also, you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Xyz Monsters. You can only use this effect of ""Crystal Shark"" once per turn."
Crystal Skull,WATER,Level 1,Rock/Effect,0.0,0.0,"If this card is Summoned: Take 1000 damage, then change this card to Defense Position. During the End Phase, if you did not take effect damage this turn: You can either add to your hand or Special Summon 1 Rock monster with 0 ATK from your Deck. You can only use this effect of ""Crystal Skull"" once per turn."
Crystal Wing Synchro Dragon,WIND,Level 8,Dragon/Synchro／Effect,3000.0,2500.0,"1 Tuner + 1+ non-Tuner Synchro MonstersOnce per turn, when another monster's effect is activated (Quick Effect): You can negate the activation, and if you do, destroy that monster, and if you do that, this card gains ATK equal to the destroyed monster's original ATK until the end of this turn. If this card battles an opponent's Level 5 or higher monster, during damage calculation: This card gains ATK equal to the current ATK of the opponent's monster it is battling during that damage calculation only."
Crystron Ametrix,WATER,Level 5,Machine/Synchro／Effect,2500.0,1500.0,"1 Tuner + 1 or more non-Tuner monstersIf this card is Synchro Summoned: You can change all face-up Special Summoned monsters your opponent controls to Defense Position. If this Synchro Summoned card is destroyed by battle or card effect: You can target 1 ""Crystron"" monster in your Graveyard, except a Synchro Monster; Special Summon it."
Crystron Citree,WATER,Level 2,Machine/Tuner／Effect,500.0,500.0,"During your opponent's Main or Battle Phase (Quick Effect): You can target 1 non-Tuner in your GY; Special Summon it, but its effects are negated (if any), then immediately after this effect resolves, Synchro Summon 1 Machine Synchro Monster using only that monster and this card. These Synchro Materials are banished instead of being sent to the GY. You can only use this effect of ""Crystron Citree"" once per turn."
Crystron Eleskeletus,WATER,Level 7,Machine/Synchro／Effect,2600.0,2100.0,"1 Tuner + 1+ non-Tuner monstersAll monsters your opponent controls lose 500 ATK/DEF. You can only use each of the following effects of ""Crystron Eleskeletus"" once per turn. If this card is Synchro Summoned: You can add 1 ""Crystron"" card from your GY or banishment to your hand. If this Synchro Summoned card is destroyed by battle or card effect: You can Special Summon 1 ""Crystron"" monster from your GY or banishment."
Crystron Halqifibrax,WATER,,Machine/Link／Effect,1500.0,,"2 monsters, including a TunerIf this card is Link Summoned: You can Special Summon 1 Level 3 or lower Tuner from your hand or Deck in Defense Position, but it cannot activate its effects this turn. During your opponent's Main Phase or Battle Phase (Quick Effect): You can banish this card you control; Special Summon 1 Tuner Synchro Monster from your Extra Deck. (This is treated as a Synchro Summon.) You can only use each effect of ""Crystron Halqifibrax"" once per turn."
Crystron Phoenix,WATER,Level 9,Machine/Synchro／Effect,2800.0,2000.0,1 Tuner Synchro Monster + 1+ non-Tuner Synchro MonstersIf this card is Synchro Summoned: You can banish all Spells and Traps your opponent controls and in their GY. If this Synchro Summoned card is destroyed by battle or card effect: You can target 1 other monster in your GY; Special Summon it.
Crystron Prasiortle,WATER,Level 2,Machine/Effect,500.0,2000.0,"You can target 1 face-up card you control; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Machine-Type Synchro Monsters, also, destroy that card, and if you do, Special Summon 1 ""Crystron"" Tuner from your Deck. You can banish this card from your Graveyard; Special Summon 1 ""Crystron"" monster from your hand. You can only use 1 ""Crystron Prasiortle"" effect per turn, and only once that turn."
Crystron Quan,WATER,Level 1,Machine/Tuner／Effect,500.0,500.0,"During your opponent's Main or Battle Phase (Quick Effect): You can Special Summon 1 non-Tuner monster from your hand, but its effects are negated (if any), and if you do, immediately after this effect resolves, Synchro Summon 1 Machine Synchro Monster using only that monster and this card. You can only use this effect of ""Crystron Quan"" once per turn."
Crystron Quandax,WATER,Level 4,Machine/Synchro／Tuner／Effect,1800.0,2000.0,"1 Tuner + 1+ non-Tuner monstersOnce per Chain, during your opponent's Main or Battle Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using materials including this card you control. If this Synchro Summoned card is destroyed by battle or card effect: You can target 1 ""Crystron"" monster in your GY, except a Synchro Monster; Special Summon it."
Crystron Quariongandrax,WATER,Level 9,Machine/Synchro／Effect,3000.0,3000.0,"2+ Tuners + 1 non-Tuner monsterIf this card is Synchro Summoned: You can target monsters your opponent controls and/or in their GY, up to the number of materials used for the Synchro Summon of this card; banish them. If this Synchro Summoned card is destroyed by battle or card effect: You can target 1 banished monster, except this card; Special Summon it to your field."
Crystron Rion,WATER,Level 3,Machine/Tuner／Effect,500.0,500.0,"During your opponent's Main Phase or Battle Phase: You can target 1 of your banished non-Tuner monsters; Special Summon it, but it has its effects negated (if any), and if you do, immediately after this effect resolves, Synchro Summon 1 Machine-Type Synchro Monster using only that monster and this card (this is a Quick Effect). These Synchro Materials are shuffled into the Deck instead of being sent to the Graveyard. You can only use this effect of ""Crystron Rion"" once per turn."
Crystron Rosenix,WATER,Level 4,Machine/Effect,1800.0,1000.0,"You can target 1 face-up card you control; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Machine-Type Synchro Monsters, also, destroy that card, and if you do, Special Summon 1 ""Crystron"" Tuner from your Deck. You can banish this card from your Graveyard; Special Summon 1 ""Crystron Token"" (Machine-Type/WATER/Level 1/ATK 0/DEF 0), but it cannot be Tributed. You can only use 1 ""Crystron Rosenix"" effect per turn, and only once that turn."
Crystron Smiger,WATER,Level 3,Machine/Effect,1000.0,1800.0,"You can target 1 face-up card you control; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Machine-Type Synchro Monsters, also, destroy that card, and if you do, Special Summon 1 ""Crystron"" Tuner from your Deck. You can banish this card from your Graveyard; add 1 ""Crystron"" Spell/Trap Card from your Deck to your hand. You can only use 1 ""Crystron Smiger"" effect per turn, and only once that turn."
Crystron Sulfador,WATER,Level 5,Machine/Effect,1900.0,2250.0,"If this card is in your hand or GY: You can target 1 ""Crystron"" card you control; destroy it, and if you do, Special Summon this card, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Machine monsters. If this card is Normal or Special Summoned: You can send up to 2 ""Crystron"" cards with different names from your Deck to the GY, except ""Crystron Sulfador"". You can only use each effect of ""Crystron Sulfador"" once per turn."
Crystron Sulfefnir,WATER,Level 5,Machine/Effect,2000.0,1500.0,"If this card is in your hand or GY: You can discard 1 ""Crystron"" card, except ""Crystron Sulfefnir""; Special Summon this card in Defense Position, then destroy 1 card you control. If this card on the field is destroyed by battle or card effect: You can Special Summon 1 ""Crystron"" monster from your Deck in Defense Position. You can only use each effect of ""Crystron Sulfefnir"" once per turn."
Crystron Thystvern,WATER,Level 3,Machine/Effect,1500.0,1500.0,"You can target 1 face-up card you control; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Machine-Type Synchro Monsters, also, destroy that card, and if you do, Special Summon 1 ""Crystron"" Tuner from your Deck. You can banish this card from your Graveyard; add 1 ""Crystron"" monster from your Deck to your hand, except ""Crystron Thystvern"". You can only use 1 ""Crystron Thystvern"" effect per turn, and only once that turn."
Crystron Tristaros,WATER,Level 2,Machine/Tuner／Effect,800.0,2000.0,"When your opponent activates a card or effect (Quick Effect): You can Special Summon 1 ""Crystron"" monster from your Deck, except ""Crystron Tristaros"", then immediately after this effect resolves, Synchro Summon 1 Machine Synchro Monster using monsters you control, including that monster. You can banish this card from your GY; destroy 1 Synchro Monster you control, and if you do, Special Summon 2 ""Crystron"" monsters from your Deck, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Machine monsters. You can only use each effect of ""Crystron Tristaros"" once per turn."
Cú Chulainn the Awakened,LIGHT,Level 4,Warrior/Ritual／Effect,500.0,1000.0,"This card can only be Ritual Summoned with the Ritual Spell Card, ""Emblem of the Awakening"". Once per turn, you can remove from play 1 Normal Monster from your Graveyard. This card gains ATK equal to that Normal Monster's ATK, until the Standby Phase of your next turn."
Cuben,LIGHT,Level 4,Thunder/Effect,600.0,1900.0,"Once per turn: You can roll a six-sided die, and while this monster is face-up on the field, neither player can Normal or Special Summon monsters with the same Level as the result."
Cucumber Horse,DARK,Level 8,Plant/Effect,100.0,2000.0,"This card in the Monster Zone is sent to the GY, except during the Battle Phase. At the start of the Battle Phase, if this card is in your GY: You can send 1 Plant monster from your hand or face-up field to the GY; Special Summon this card, then you can Special Summon 1 monster from either GY to your field, but send these Special Summoned monsters to the GY at the end of the Battle Phase. You can only use this effect of ""Cucumber Horse"" once per turn."
Cupid Dunk,LIGHT,Level 4,Fairy/Effect,1800.0,600.0,"Cannot be destroyed by battle with a monster, unless that monster has a higher Level. Once per turn, during your Standby Phase: You can increase this card's Level by 1."
Cupid Fore,LIGHT,Level 6,Fairy/Effect,2200.0,600.0,"If all monsters you control are monsters with 600 DEF (min. 1): You can Special Summon this card from your hand. (Quick Effect): You can discard 1 card, then target 1 LIGHT Fairy monster you control and 1 face-up monster on the field; the Level of your monster becomes the other monster's Level, until the end of this turn. You can only use each effect of ""Cupid Fore"" once per turn."
Cupid Pitch,LIGHT,Level 4,Fairy/Synchro／Tuner／Effect,0.0,600.0,"1 Tuner + 1+ non-Tuner monstersIf this card is Synchro Summoned: Increase or decrease this card's Level by the Level the Tuner used as material had on the field. This card gains ATK equal to its Level x 400. If this Synchro Summoned card is sent to the GY as Synchro Material: Inflict damage to your opponent equal to the new Synchro Summoned monster's Level x 100, and if you do, you can add 1 Level 8 or lower monster with 600 DEF from your Deck to your hand. You can only use this effect of ""Cupid Pitch"" once per turn."
Cupid Serve,LIGHT,Level 2,Fairy/Effect,1000.0,600.0,"Unaffected by the activated effects of monsters, except monsters whose Level is equal or lower than this card. You can banish up to 3 cards from your GY; increase this card's Level by that number, until the end of this turn. You can only use this effect of ""Cupid Serve"" once per turn."
Cupid Volley,LIGHT,Level 1,Fairy/Effect,600.0,600.0,"You can choose a number from 1 to 3, then send that many cards from the top of your Deck to the GY; increase this card's Level by the number of cards sent to the GY this way, until the end of this turn. If this card you control is destroyed by an opponent's card and sent to your GY: You gain 1500 LP. You can only use each effect of ""Cupid Volley"" once per turn."
Cure Mermaid,WATER,Level 4,Fish/Effect,1500.0,800.0,"As long as this card remains face-up on your side of the field, increase your Life Points by 800 points during each of your Standby Phases."
"Curious, the Lightsworn Dominion",LIGHT,,Warrior/Link／Effect,2400.0,,"3 monsters with the same Attribute but different TypesIf this face-up card is destroyed by battle, or leaves the field because of an opponent's card effect while its owner controls it: You can target 1 card in your GY; add it to your hand. You can only use each of the following effects of ""Curious, the Lightsworn Dominion"" once per turn.●If this card is Link Summoned: You can send 1 card from your Deck to the GY.●If a card(s) is sent from your Deck to the GY by an effect: Send the top 3 cards of your Deck to the GY."
Curse Necrofear,DARK,Level 8,Fiend/Effect,2800.0,2200.0,"Cannot be Normal Summoned/Set. Must be Special Summoned by a card effect. You can target 3 of your banished Fiend monsters; Special Summon this card from your hand, and if you do, shuffle those banished monsters into the Deck. During the End Phase, if this card is in the GY because it was destroyed in your Monster Zone by an opponent's card and sent there this turn: Special Summon this card from your GY, then, you can destroy cards your opponent controls, up to the number of face-up Spells/Traps you control with different names. You can only use each effect of ""Curse Necrofear"" once per turn."
Curse of Dragon,DARK,Level 5,Dragon/Normal,2000.0,1500.0,A wicked dragon that taps into dark forces to execute a powerful attack.
"Curse of Dragon, the Cursed Dragon",DARK,Level 5,Dragon/Effect,2000.0,1500.0,"If this card is Normal or Special Summoned: You can add 1 Spell/Trap from your Deck to your hand, that specifically lists the card ""Gaia the Dragon Champion"" in its text. If this card is sent to the GY: You can target 1 ""Gaia the Dragon Champion"" in your Monster Zone; negate the effects of face-up monsters your opponent currently controls with ATK less than or equal to it until the end of this turn. You can only use each effect of ""Curse of Dragon, the Cursed Dragon"" once per turn."
"Curse of Dragon, the Magical Knight Dragon",DARK,Level 5,Dragon/Fusion／Effect,2000.0,1500.0,"1 Warrior monster + 1 Level 5 or higher Dragon monsterIf you Fusion Summon a Level 7 Dragon Fusion Monster, you can also banish monsters from your GY as material. If this card is Fusion Summoned: You can target 1 Spell/Trap in your GY that mentions ""Gaia the Dragon Champion""; add it to your hand. You can only use this effect of ""Curse of Dragon, the Magical Knight Dragon"" once per turn."
Curse of Dragonfire,DARK,Level 5,Dragon/Effect,2000.0,1500.0,"If this card is Normal or Special Summoned: You can target 1 Field Spell on the field; destroy it. Once per turn: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters you control as Fusion Materials, including this card."
Cursed Bride Doll,EARTH,Level 3,Spellcaster/Tuner／Effect,0.0,2100.0,"When you draw this card: You can reveal it; Special Summon this card. At the start of each Battle Phase: If there are more cards in your Deck than your opponent's, this card gains ATK equal to the difference x 300, until the end of this turn. Once per turn, during the End Phase, if this card is in the GY because it was sent there this turn: Place this card on top of the Deck."
Cursed Fig,WATER,Level 1,Plant/Effect,200.0,200.0,"When this card is destroyed by battle and sent to the Graveyard: Target 2 Set Spell/Trap Cards on the field; while this card is in the Graveyard, those Set cards cannot be activated."
Cursed Fire King Doom Burst,FIRE,Level 3,Fiend/Effect,1600.0,800.0,"If this card is destroyed by battle or card effect and sent to the GY: You can target 1 face-up monster your opponent controls; it loses 400 ATK until the end of this turn. You can only use each of the following effects of ""Cursed Fire King Doom Burst"" once per turn. If you control a Fiend Tuner: You can Special Summon this card from your hand. If this card is Special Summoned: You can target 1 face-up monster your opponent controls; it loses 600 ATK until the end of this turn."
Curtain of the Dark Ones,DARK,Level 2,Spellcaster/Normal,600.0,500.0,"A curtain that a spellcaster made, it is said to raise a dark power."
Cutter Shark,WATER,Level 5,Fish/Effect,0.0,2000.0,"When a card or effect is activated that targets 1 monster you control (and no other cards) or when a monster you control is targeted for an attack, while this card is in your hand or GY (Quick Effect): You can Tribute that monster; Special Summon this card. If this card is Special Summoned: You can activate this effect; during the End Phase of this turn, add 1 WATER monster from your GY to your hand, except ""Cutter Shark"". You can only use each effect of ""Cutter Shark"" once per turn."
CXyz Barian Hope,LIGHT,Rank 7,Warrior/Xyz／Effect,0.0,0.0,"3 or more Level 7 monstersYou can also Xyz Summon this card by using 1 monster you control with ""Number C101"" through ""Number C107"" in its name as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) This card gains 1000 ATK for each Xyz Material attached to it. You can target 1 ""Number"" monster in your Graveyard; until your opponent's next End Phase, this card's name becomes that monster's, and replace this effect with that monster's original effects. You can only use this effect of ""CXyz Barian Hope"" once per turn."
CXyz Battleship Cherry Blossom,EARTH,Rank 4,Plant/Xyz／Effect,2400.0,2000.0,"4 Level 4 monstersOnce per turn, during your opponent's End Phase, if your opponent has more cards in their hand than you do: They discard 1 card. If this card has ""Battlecruiser Dianthus"" as an Xyz Material, it gains this effect.●You can detach 1 Xyz Material from this card; inflict 300 damage to your opponent for each card on the field. You can only use this effect of ""CXyz Battleship Cherry Blossom"" once per turn."
CXyz Coach Lord Ultimatrainer,FIRE,Rank 9,Warrior/Xyz／Effect,3800.0,2300.0,"4 Level 9 monstersThis card cannot be targeted by card effects. If this card has an Xyz Monster as an Xyz Material, it gains this effect.●Once per turn: You can detach 1 Xyz Material from this card; draw 1 card and reveal it, then if it was a monster, inflict 800 damage to your opponent."
CXyz Comics Hero Legend Arthur,EARTH,Rank 5,Warrior/Xyz／Effect,3000.0,2400.0,"3 Level 5 monstersOnce per turn, this card cannot be destroyed by battle. If this card has ""Comics Hero King Arthur"" as an Xyz Material, it gains this effect.●When this card destroys a monster by battle and sends it to the Graveyard: You can detach 1 Xyz Material from this card; banish the destroyed monster, and if you do, inflict damage to your opponent equal to its original ATK."
CXyz Dark Fairy Cheer Girl,DARK,Rank 5,Fairy/Xyz／Effect,2500.0,1900.0,"3 Level 5 monstersWhen this card is sent from the field to the Graveyard: Draw 1 card. If this card has ""Fairy Cheer Girl"" as an Xyz Material, it gains this effect.●When this card destroys an opponent's monster by battle and remains on the field: You can detach 1 Xyz Material from this card; inflict 400 damage to your opponent for each card in your hand."
CXyz Gimmick Puppet Fanatix Machinix,DARK,Rank 9,Machine/Xyz／Effect,3100.0,1500.0,"3 Level 9 monstersIf this card is Special Summoned: You can add 1 ""Puppet"" Trap from your Deck to your hand. You can detach 1 material from this card; Special Summon 1 monster from either GY to your opponent's field in Defense Position. If a monster(s) is Special Summoned to your opponent's field (except during the Damage Step): You can target 1 of them; destroy it, and if you do, inflict damage to your opponent equal to half its original ATK. You can only use each effect of ""CXyz Gimmick Puppet Fanatix Machinix"" once per turn."
CXyz Mechquipped Djinn Angeneral,DARK,Rank 4,Fairy/Xyz／Effect,2600.0,1600.0,"3 Level 4 monstersWhen this card is Xyz Summoned: You can target 1 Defense Position monster on the field; change that target to face-up Attack Position. If this card has ""Mechquipped Angineer"" as an Xyz Material, it gains this effect.●When this card inflicts battle damage to your opponent: You can detach 1 Xyz Material from this card; inflict 1000 damage to your opponent."
CXyz N.As.Ch. Knight,WATER,Rank 6,Aqua/Xyz／Effect,2000.0,3000.0,"3 Level 6 monstersYou can also Xyz Summon this card by using ""N.As.H. Knight"" you control. (Transfer its materials to this card.) Cannot be destroyed by card effects. You can detach 1 material from this card; Special Summon from your Extra Deck, 1 ""Number"" Xyz Monster that has a number between ""101"" and ""107"" in its name, using this face-up card you control as material, but destroy it during your opponent's next End Phase. (This is treated as an Xyz Summon. Transfer its materials to the Summoned monster.) You can only use this effect of ""CXyz N.As.Ch. Knight"" once per turn."
CXyz Simon the Great Moral Leader,LIGHT,Rank 7,Spellcaster/Xyz／Effect,3000.0,2500.0,"3 Level 7 monstersThis card is unaffected by other monster effects. If this card has ""Norito the Moral Leader"" as an Xyz Material, it gains this effect.●Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 monster your opponent controls; change its battle position, and if you do, negate its effects until the end of this turn."
CXyz Skypalace Babylon,WIND,Rank 11,Machine/Xyz／Effect,3800.0,4000.0,"3 Level 11 monstersWhen this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to half the original ATK of the destroyed monster in the Graveyard. If this card has ""Skypalace Gangaridai"" as an Xyz Material, it gains this effect.●Once per turn, if this card destroys a monster by battle: You can detach 1 Xyz Material from this card; it can make a second attack in a row."
Cyber Angel Benten,LIGHT,Level 6,Fairy/Ritual／Effect,1800.0,1500.0,"You can Ritual Summon this card with ""Machine Angel Ritual"". If this card destroys a monster by battle and sends it to the GY: Inflict damage to your opponent equal to that monster's original DEF in the GY. If this card is Tributed: You can add 1 LIGHT Fairy monster from your Deck to your hand."
Cyber Angel Dakini,LIGHT,Level 8,Fairy/Ritual／Effect,2700.0,2400.0,"You can Ritual Summon this card with ""Machine Angel Ritual"". If this card is Ritual Summoned: You can make your opponent send 1 monster they control to the GY (their choice). If a Ritual Monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent. Once per turn, during your End Phase: You can target 1 Ritual Monster or 1 ""Machine Angel Ritual"" in your GY; add it to your hand."
Cyber Angel Idaten,LIGHT,Level 6,Fairy/Ritual／Effect,1600.0,2000.0,"You can Ritual Summon this card with ""Machine Angel Ritual"". If this card is Ritual Summoned: You can add 1 Ritual Spell from your Deck or GY to your hand. If this card is Tributed: You can make all Ritual Monsters you control gain 1000 ATK/DEF."
Cyber Angel Izana,LIGHT,Level 8,Fairy/Ritual／Effect,2500.0,2600.0,"You can Ritual Summon this card with ""Machine Angel Ritual"". If this card is Ritual Summoned: You can make your opponent send 1 Spell/Trap they control to the GY. When this attacking card destroys an opponent's monster by battle and sends it to the GY: You can activate this effect; this card can make a second attack on an opponent's monster in a row. Once per turn, when your opponent activates a card or effect that targets a ""Cyber Angel"" Ritual Monster you control (Quick Effect): You can shuffle 1 Ritual Monster from your GY into the Deck, and if you do, destroy 1 card your opponent controls."
Cyber Angel Natasha,LIGHT,Level 5,Fairy/Ritual／Effect,1000.0,1000.0,"You can Ritual Summon this card with ""Machine Angel Ritual"". Once per turn: You can target 1 face-up monster you control; gain LP equal to half its ATK. When a Ritual Monster you control is targeted for an attack: You can negate the attack. If this card is in the Graveyard: You can banish 1 other ""Cyber Angel"" monster from your Graveyard, then target 1 monster your opponent controls; Special Summon this card, and if you do, take control of that monster."
Cyber Angel Vrash,LIGHT,Level 10,Fairy/Ritual／Effect,3000.0,2000.0,"You can Ritual Summon this card with ""Machine Angel Ritual"". If this card is Ritual Summoned: You can destroy as many face-up monsters your opponent controls as possible that were Special Summoned from the Extra Deck, and if you do, inflict 1000 damage to your opponent for each, and if you do that, this card can make a second attack during each Battle Phase this turn. Once per turn, during either player's turn, when a card or effect is activated that would destroy a card on the field: You can shuffle 1 Ritual Monster from your Graveyard into the Deck; negate the activation, and if you do, destroy that card."
Cyber Archfiend,DARK,Level 4,Fiend/Effect,1000.0,2000.0,"At the beginning of your Draw Phase, if you have no cards in your hand, draw 1 more card in addition to your normal draw. During your End Phase, if you have 1 or more card(s) in your hand, destroy this card."
Cyber Barrier Dragon,LIGHT,Level 6,Machine/Effect,800.0,2800.0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Attack Reflector Unit"". Once per turn, while this card is in Attack Position, your opponent's next attack is negated."
Cyber Blader,EARTH,Level 7,Warrior/Fusion／Effect,2100.0,800.0,"""Etoile Cyber"" + ""Blade Skater""A Fusion Summon of this card can only be done with the above Fusion Materials. This card gains the following effect, based on the number of monsters your opponent controls.●1: Cannot be destroyed by battle.●2: This card's ATK is doubled.●3: Your opponent's activated card effects are negated."
Cyber Dinosaur,LIGHT,Level 7,Machine/Effect,2500.0,1900.0,When your opponent Special Summons a monster from their hand (except during the Damage Step): You can Special Summon this card from your hand.
Cyber Dragon,LIGHT,Level 5,Machine/Effect,2100.0,1600.0,"If only your opponent controls a monster, you can Special Summon this card (from your hand)."
Cyber Dragon Core,LIGHT,Level 2,Machine/Effect,400.0,1500.0,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. If this card is Normal Summoned: Add 1 ""Cyber"" Spell/Trap from your Deck to your hand. If only your opponent controls a monster: You can banish this card from your GY; Special Summon 1 ""Cyber Dragon"" monster from your Deck. You can only use 1 ""Cyber Dragon Core"" effect per turn, and only once that turn."
Cyber Dragon Drei,LIGHT,Level 4,Machine/Effect,1800.0,800.0,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. When this card is Normal Summoned: You can make all ""Cyber Dragon"" you currently control become Level 5. You cannot Special Summon monsters the turn you activate this effect, except Machine monsters. If this card is banished: You can target 1 ""Cyber Dragon"" you control; it cannot be destroyed by battle or card effects this turn."
Cyber Dragon Herz,LIGHT,Level 1,Machine/Effect,100.0,100.0,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can only use 1 of the following effects of ""Cyber Dragon Herz"" per turn, and only once that turn.●If this card is Special Summoned: You can make this card's Level become 5 until the end of this turn, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters.●If this card is sent to the GY: You can add 1 other ""Cyber Dragon"" from your Deck or GY to your hand."
Cyber Dragon Infinity,LIGHT,Rank 6,Machine/Xyz／Effect,2100.0,1600.0,"3 Level 6 LIGHT Machine monstersOnce per turn, you can also Xyz Summon ""Cyber Dragon Infinity"" by using ""Cyber Dragon Nova"" you control as material. (Transfer its materials to this card.) Gains 200 ATK for each material attached to it. Once per turn: You can target 1 face-up Attack Position monster on the field; attach it to this card as material. Once per turn, when a card or effect is activated (Quick Effect): You can detach 1 material from this card; negate the activation, and if you do, destroy it."
Cyber Dragon Nachster,LIGHT,Level 1,Machine/Effect,200.0,200.0,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can discard 1 other monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 Machine monster with 2100 ATK or DEF in your GY; Special Summon it, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. You can only use each effect of ""Cyber Dragon Nachster"" once per turn."
Cyber Dragon Nova,LIGHT,Rank 5,Machine/Xyz／Effect,2100.0,1600.0,"2 Level 5 Machine monstersOnce per turn: You can detach 1 material from this card, then target 1 ""Cyber Dragon"" in your GY; Special Summon that target. Once per turn (Quick Effect): You can banish 1 ""Cyber Dragon"" from your hand or face-up from your Monster Zone; this card gains 2100 ATK until the end of this turn. If this card in your possession is sent to your GY by your opponent's card effect: You can Special Summon 1 Machine Fusion Monster from your Extra Deck."
Cyber Dragon Sieger,LIGHT,,Machine/Link／Effect,2100.0,,"2 Machine monsters, including ""Cyber Dragon""This card's name becomes ""Cyber Dragon"" while on the field or in the GY. During each Battle Phase, if this card has not declared an attack (Quick Effect): You can target 1 Machine monster you control with 2100 or more ATK; for the rest of this turn, that monster gains 2100 ATK/DEF, also neither player takes any battle damage from attacks involving this monster. You can only use this effect of ""Cyber Dragon Sieger"" once per turn."
Cyber Dragon Vier,LIGHT,Level 4,Machine/Effect,1100.0,1600.0,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. If you Normal or Special Summon ""Cyber Dragon"", except during the Damage Step: You can Special Summon this card from your hand in Defense Position. You can only use this effect of ""Cyber Dragon Vier"" once per turn. Each ""Cyber Dragon"" you control gains 500 ATK/DEF."
Cyber Dragon Zwei,LIGHT,Level 4,Machine/Effect,1500.0,1000.0,"This card's name becomes ""Cyber Dragon"" while in the GY. Once per turn: You can reveal 1 Spell in your hand; this card's name becomes ""Cyber Dragon"" until the End Phase. If this card attacks an opponent's monster, it gains 300 ATK during the Damage Step only."
Cyber Egg Angel,LIGHT,Level 2,Fairy/Effect,200.0,300.0,"If this card is Summoned: You can add 1 ""Machine Angel"" Spell or 1 ""Ritual Sanctuary"" from your Deck to your hand. You can only use this effect of ""Cyber Egg Angel"" once per turn."
Cyber Eltanin,LIGHT,Level 10,Machine/Effect,,,Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing all LIGHT Machine monsters from your field and GY. This card's ATK/DEF become the number of monsters banished for its Special Summon x 500. If this card is Special Summoned: Send all other face-up monsters on the field to the GY.
Cyber End Dragon,LIGHT,Level 10,Machine/Fusion／Effect,4000.0,2800.0,"""Cyber Dragon"" + ""Cyber Dragon"" + ""Cyber Dragon""A Fusion Summon of this card can only be done with the above Fusion Materials. If this card attacks a Defense Position monster, inflict piercing battle damage."
Cyber Esper,FIRE,Level 4,Machine/Effect,1200.0,1800.0,"While this card is in face-up Attack Position, you can look at every card your opponent draws."
